source,target
CHEMBL3326702,CHEMBL3326711
CHEMBL3326702,CHEMBL3327247
CHEMBL3326702,CHEMBL3326710
CHEMBL3327248,CHEMBL3326711
CHEMBL3327248,CHEMBL3327247
CHEMBL3327248,CHEMBL3326710
CHEMBL3326698,CHEMBL3326708
CHEMBL3326698,CHEMBL3327247
CHEMBL3326698,CHEMBL3326700
CHEMBL3326698,CHEMBL3326709
CHEMBL3326710,CHEMBL3327247
CHEMBL3326710,CHEMBL3326708
CHEMBL3326710,CHEMBL3326700
CHEMBL3326710,CHEMBL3326709
CHEMBL3326710,CHEMBL3326701
CHEMBL3326710,CHEMBL3326706
CHEMBL3326710,CHEMBL3327249
CHEMBL3326710,CHEMBL3327246
CHEMBL3326710,CHEMBL3326703
CHEMBL3326710,CHEMBL3326707
CHEMBL3326700,CHEMBL3327247
CHEMBL3326700,CHEMBL3326711
CHEMBL3326700,CHEMBL3326705
CHEMBL3326700,CHEMBL3326701
CHEMBL3326700,CHEMBL3326709
CHEMBL3326700,CHEMBL3326704
CHEMBL3326700,CHEMBL3327249
CHEMBL3326700,CHEMBL3326699
CHEMBL3326700,CHEMBL3326703
CHEMBL3326700,CHEMBL3326707
CHEMBL3326706,CHEMBL3326711
CHEMBL3326706,CHEMBL3327247
CHEMBL3326706,CHEMBL3326709
CHEMBL3327247,CHEMBL3326708
CHEMBL3327247,CHEMBL3326704
CHEMBL3327247,CHEMBL3327246
CHEMBL3326705,CHEMBL3326708
CHEMBL3326705,CHEMBL3326709
CHEMBL3327249,CHEMBL3326711
CHEMBL3326703,CHEMBL3326711
CHEMBL3326699,CHEMBL3326708
CHEMBL3326699,CHEMBL3326709
CHEMBL3326704,CHEMBL3326708
CHEMBL3326704,CHEMBL3326709
CHEMBL3326707,CHEMBL3326708
CHEMBL3326711,CHEMBL3326708
CHEMBL3326711,CHEMBL3326709
CHEMBL3326711,CHEMBL3327246
CHEMBL3326708,CHEMBL3326701
CHEMBL3326709,CHEMBL3327246
