source,target
CHEMBL1195668,CHEMBL4241840
CHEMBL1195668,CHEMBL3819220
CHEMBL1195668,CHEMBL3819531
CHEMBL1195668,CHEMBL4090024
CHEMBL1195668,CHEMBL3819155
CHEMBL1195668,CHEMBL4078831
CHEMBL1195668,CHEMBL354848
CHEMBL1195668,CHEMBL3926911
CHEMBL1195668,CHEMBL170946
CHEMBL1195668,CHEMBL172409
CHEMBL1195668,CHEMBL3818415
CHEMBL1195668,CHEMBL4083147
CHEMBL1195668,CHEMBL3985059
CHEMBL1195668,CHEMBL4090929
CHEMBL3818415,CHEMBL4241840
CHEMBL4241840,CHEMBL4090024
CHEMBL4241840,CHEMBL3819155
CHEMBL4241840,CHEMBL354848
CHEMBL4241840,CHEMBL172409
CHEMBL4241840,CHEMBL170946
CHEMBL4241840,CHEMBL4083147
CHEMBL4078831,CHEMBL4090024
CHEMBL4078831,CHEMBL172409
CHEMBL4078831,CHEMBL4083147
CHEMBL3960861,CHEMBL3926911
CHEMBL3960861,CHEMBL3985059
CHEMBL3927363,CHEMBL3926911
CHEMBL3819155,CHEMBL3819220
CHEMBL3819155,CHEMBL3819531
CHEMBL4090929,CHEMBL4090024
CHEMBL4090929,CHEMBL172409
CHEMBL170946,CHEMBL3819220
CHEMBL170946,CHEMBL3819531
CHEMBL170946,CHEMBL4090024
CHEMBL170946,CHEMBL4083147
CHEMBL170946,CHEMBL354848
CHEMBL170946,CHEMBL172409
CHEMBL3819531,CHEMBL4090024
CHEMBL3819531,CHEMBL354848
CHEMBL3819531,CHEMBL172409
CHEMBL3926911,CHEMBL354848
CHEMBL3926911,CHEMBL172409
CHEMBL354848,CHEMBL3819220
CHEMBL354848,CHEMBL172409
CHEMBL354848,CHEMBL3985059
CHEMBL3985059,CHEMBL172409
CHEMBL4090024,CHEMBL3819220
CHEMBL3819220,CHEMBL172409
